Date,Value
2017-03-31,1100.0
2017-02-28,1098.0
2017-01-31,1047.0
2016-12-31,1160.0
2016-11-30,1276.0
2016-10-31,1319.0
2016-09-30,1278.0
2016-08-31,1161.0
2016-07-31,1292.0
2016-06-30,1348.0
2016-05-31,1290.0
2016-04-30,1228.0
2016-03-31,1112.0
2016-02-29,1028.0
2016-01-31,1042.0
2015-12-31,1173.0
2015-11-30,1463.0
2015-10-31,1468.0
2015-09-30,1304.0
2015-08-31,1218.0
2015-07-31,1256.0
2015-06-30,1298.0
2015-05-31,1240.0
2015-04-30,1194.0
2015-03-31,967.0
2015-02-28,932.0
2015-01-31,919.0
2014-12-31,1041.0
2014-11-30,1274.0
2014-10-31,1367.0
2014-09-30,1244.0
2014-08-31,1178.0
2014-07-31,1254.0
2014-06-30,1277.0
2014-05-31,1136.0
2014-04-30,1083.0
2014-03-31,927.0
2014-02-28,932.0
2014-01-31,924.0
2013-12-31,1117.0
2013-11-30,1234.0
2013-10-31,1213.0
2013-09-30,1053.0
2013-08-31,1014.0
2013-07-31,1032.0
2013-06-30,1074.0
2013-05-31,1193.0
2013-04-30,1091.0
2013-03-31,940.0
2013-02-28,965.0
2013-01-31,925.0
2012-12-31,1068.0
2012-11-30,1292.0
2012-10-31,1355.0
2012-09-30,1412.0
2012-08-31,1590.0
2012-07-31,1658.0
2012-06-30,1770.0
2012-05-31,1778.0
2012-04-30,1814.0
2012-03-31,1910.0
2012-02-29,1917.0
2012-01-31,1832.0
2011-12-31,2125.0
2011-11-30,2351.0
2011-10-31,2374.0
2011-09-30,2369.0
2011-08-31,2452.0
2011-07-31,2568.0
2011-06-30,2582.0
2011-05-31,2396.0
2011-04-30,2316.0
2011-03-31,2304.0
2011-02-28,2114.0
2011-01-31,2029.0
2010-12-31,2334.0
2010-11-30,2414.0
2010-10-31,2437.0
2010-09-30,2012.0
2010-08-31,1827.0
2010-07-31,2255.0
2010-06-30,2273.0
2010-05-31,2218.0
2010-04-30,2311.0
2010-03-31,2126.0
2010-02-28,1930.0
2010-01-31,1943.0
